Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
132,40169900,34607104,98.3,1044142405.13
133,40009808,34607104,98.4,1048320351.85
134,39512644,34607104,124.5,1061510740.71
135,39427403,34607104,100.3,1063805698.79
136,38917665,34607104,101.4,1077739273.41
137,39328422,34607104,100.5,1066483064.08
138,39554385,34607104,99.9,1060390548.36
139,39492977,34607104,75.1,1062039359.55
140,39184090,34607104,100.9,1070411383.80
141,39066146,34607104,101.2,1073643046.33
142,39114646,34607104,101.1,1072311788.27
143,38948887,34607104,101.5,1076875341.78
144,39069424,34607104,101.2,1073552965.61
145,39452700,34607104,100.2,1063123588.50
146,39635366,34607104,99.7,1058224011.35
147,39712347,34607104,99.6,1056172681.01
148,39746884,34607104,99.5,1055254947.78
149,39773272,34607104,99.5,1054554827.67
150,39538847,34607104,100.0,1060807261.27
151,40495825,34607104,97.6,1035738770.60
152,39736698,34607104,99.5,1055525449.04
153,39830958,34607104,99.2,1053027547.07
154,39569477,34607104,99.9,1059986110.00
155,39177516,34611200,100.8,1070590999.18
156,39040720,34611200,101.3,1074342276.47
157,39515495,34611200,99.5,1061434153.87
158,39762365,34611200,99.4,1054844096.92
159,39437904,34611200,100.2,1063522442.77
160,39784124,34611200,99.4,1054267174.51
161,39483718,34611200,100.1,1062288409.62
162,39581495,34611200,99.9,1059664269.88
163,39429089,34611200,100.2,1063760210.13
164,39030628,34611200,101.3,1074620065.04
165,38920295,34611200,101.6,1077666446.26
166,39432829,34611200,100.2,1063659317.98
167,39688884,34611200,99.6,1056797061.87
168,39603755,34611200,99.8,1059068666.59
169,39629218,34611200,99.8,1058388182.17
170,39516218,34611200,100.0,1061414733.57
171,39661995,34611200,99.7,1057513521.45
172,39293145,34611200,100.6,1067440542.11
173,39834198,34611200,99.2,1052941896.81
174,39438293,34611200,100.2,1063511952.71
175,39632291,34611200,99.8,1058306117.10
176,39638328,34611200,99.7,1058144934.87
177,39639125,34611200,99.3,1058123659.39
178,39739550,34611200,99.5,1055449696.84
179,39524107,34611200,100.0,1061202875.50
180,39425292,34611200,99.7,1063862659.53
181,39331052,34611200,100.5,1066411750.19
182,39487107,34611200,100.1,1062197238.20
183,39315645,34611200,100.5,1066829655.22
184,39005665,34611200,101.3,1075307804.65
185,39523904,34611200,100.0,1061208325.98
186,39543626,34611200,100.0,1060679058.62
187,39304553,34611200,100.6,1067130721.47
188,39123701,34611200,101.0,1072063606.66
189,38953795,34611200,101.5,1076739660.41
190,39358922,34615296,100.4,1065656625.45
191,39292830,34615296,100.5,1067449099.49
192,38968443,34615296,101.4,1076334920.54
193,39154905,34615296,100.8,1071209239.30
194,38972739,34615296,101.4,1076216275.18
195,39049109,34615296,75.9,1074111473.32
196,39537644,34615296,100.0,1060839538.14
197,39262516,34619392,100.6,1068273260.94
198,39734292,34619392,99.4,1055589363.46
199,40051400,34619392,123.4,1047231707.26
200,39584125,34619392,99.9,1059593864.96
201,39839810,34619392,99.3,1052793575.07
202,39430607,34619392,100.3,1063719257.48
203,39877846,34619392,99.0,1051789407.08
204,39553125,34619392,99.9,1060424328.04
205,39551514,34619392,99.9,1060467520.91
206,39627476,34619392,99.8,1058434708.28
207,39361237,34619392,100.4,1065593949.70
208,39604403,34619392,99.8,1059051338.31
