Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
1,165597728,29388800,0.0,253283475.00
2,166632810,29388800,101.7,251710140.40
3,165553656,29388800,96.3,253350901.53
4,165016404,29388800,102.7,254175748.49
5,165133100,29388800,96.6,253996127.97
6,165557228,29388800,102.4,253345435.33
7,165314166,29388800,102.5,253717930.02
8,165103935,29388800,96.6,254040995.45
9,165002106,29388800,102.7,254197773.69
10,166006336,29388800,96.1,252660043.05
11,165170336,29388800,102.6,253938867.09
12,165602520,29388800,96.3,253276145.80
13,165502747,29388800,102.4,253428832.82
14,165475359,29388800,96.4,253470778.09
15,165610427,29388800,102.4,253264053.24
16,166109625,29388800,102.0,252502935.94
17,165220962,29388800,96.6,253861056.69
18,165663829,29388800,102.3,253182413.16
19,165528447,29388800,96.4,253389485.37
20,165334123,29388800,102.5,253687304.47
21,166350371,29388800,101.9,252137508.01
22,165398323,29388800,96.5,253588834.75
23,165200072,29388800,102.6,253893158.11
24,165587609,29388800,96.3,253298953.06
25,164920936,29388800,102.8,254322883.54
26,165373582,29388800,96.4,253626773.35
27,166141379,29388800,102.0,252454675.97
28,165424967,29388800,102.5,253547990.73
29,164782255,29392896,96.8,254536922.07
30,166661685,29392896,101.7,251666530.31
31,164964654,29392896,96.7,254255484.33
32,166012531,29392896,102.1,252650614.67
33,165471223,29392896,102.4,253477113.66
34,165538201,29392896,96.4,253374554.92
35,166037898,29392896,102.1,252612015.12
36,164782809,29392896,96.8,254536066.32
37,165122181,29392896,102.7,254012923.92
38,165033649,29396992,102.7,254149188.69
39,165564531,29396992,102.4,253334260.34
40,164715460,29396992,96.9,254640141.25
41,165507458,29396992,102.4,253421619.22
42,165426072,29396992,96.4,253546297.10
43,164811324,29396992,102.8,254492027.50
44,165506513,29396992,102.4,253423066.20
45,165869533,29396992,96.2,252868427.62
46,165206509,29396992,102.6,253883265.58
47,164880263,29396992,96.8,254385620.43
48,165541046,29396992,96.4,253370200.40
49,165831532,29396992,102.2,252926373.50
50,165950305,29396992,102.1,252745350.48
51,165927269,29396992,96.1,252780439.60
52,165543249,29396992,102.4,253366828.63
53,165056975,29396992,96.7,254113272.10
54,165274279,29396992,102.6,253779161.85
55,165345498,29396992,102.5,253669851.96
56,164912296,29396992,96.7,254336207.90
57,165816754,29396992,102.2,252948914.92
58,166009744,29396992,96.1,252654856.21
59,165709071,29396992,102.2,253113289.13
60,164647529,29396992,102.9,254745201.79
61,166130273,29396992,96.0,252471552.85
