Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
138,54017593,34910208,110.1,776472361.51
139,54052056,34910208,91.7,775977291.22
140,54128185,34910208,91.6,774885912.03
141,54012741,34910208,110.0,776542112.54
142,53997352,34914304,91.8,776763423.51
143,54215185,34914304,109.6,773642439.84
144,54166407,34914304,91.5,774339121.29
145,54215869,34914304,109.7,773632679.39
146,54022796,34914304,91.7,776397578.53
147,54127908,34914304,109.9,774889877.51
148,54165593,34914304,91.5,774350758.05
149,54235369,34914304,109.7,773354524.42
150,54406146,34914304,91.1,770927019.90
151,54127796,34914304,91.6,774891480.89
152,54226388,34914304,109.7,773482607.77
153,54071629,34914304,91.7,775696400.79
154,54166315,34914304,109.8,774340436.49
155,54016222,34914304,91.7,776492069.36
156,54135722,34918400,109.8,774778029.19
157,54309332,34918400,91.3,772301305.42
158,54334369,34918400,109.5,771945432.92
159,54432314,34918400,91.0,770556401.48
160,54470628,34918400,109.2,770014401.16
161,54702293,34918400,90.6,766753379.06
162,54672145,34918400,108.8,767176191.82
163,54629719,34918400,90.7,767771988.72
164,54498998,34918400,109.1,769613562.44
165,54509257,34918400,90.9,769468716.11
166,54570276,34918400,90.7,768608317.10
167,54535868,34918400,109.1,769093250.70
168,54035945,34918400,91.7,776208651.48
169,54146148,34918400,109.8,774628843.40
170,54128037,34918400,91.6,774888030.76
171,54102630,34918400,109.9,775251923.98
172,54206481,34918400,91.4,773766664.54
173,54066667,34918400,110.0,775767590.78
174,54119296,34918400,91.6,775013185.69
175,54088889,34918400,109.9,775448872.69
176,54052352,34918400,109.9,775973041.84
177,54011352,34918400,91.8,776562082.73
178,54126277,34918400,91.6,774913227.45
179,54118037,34918400,109.9,775031215.56
180,54151241,34918400,91.5,774555988.48
181,54380313,34918400,109.4,771293243.57
182,54081722,34918400,91.6,775551636.47
183,54063796,34918400,110.0,775808787.09
184,54107240,34918400,91.6,775185871.61
185,54122666,34918400,109.9,774964928.74
186,54263185,34918400,91.3,772958093.04
187,54116833,34918400,109.9,775048458.58
188,54192962,34918400,91.5,773959688.71
189,54217814,34918400,109.7,773604926.23
190,54284017,34918400,91.3,772661463.13
191,54063389,34918400,91.7,775814627.53
192,54073222,34918400,110.0,775673548.73
193,54282332,34918400,91.3,772685447.63
194,54010056,34918400,110.1,776580716.75
195,54067723,34918400,91.7,775752439.21
196,54149444,34918400,109.8,774581692.84
197,54157741,34918400,91.4,774463026.44
198,54138704,34922496,109.4,774735353.84
199,54335499,34922496,91.2,771929378.99
200,54051945,34922496,110.0,775978884.76
201,53997815,34922496,91.8,776756763.21
202,54101315,34922496,109.9,775270767.45
203,54102130,34922496,91.6,775259088.69
204,54198852,34922496,91.4,773875579.50
205,54157907,34922496,109.8,774460652.62
206,53979704,34926592,91.8,777017376.75
207,54106315,34926592,109.9,775199124.17
208,54109574,34926592,91.5,775152434.21
209,54150389,34926592,109.8,774568175.31
210,54038223,34926592,91.7,776175930.14
211,54024611,34926592,110.0,776371494.84
212,54039371,34926592,91.7,776159441.23
213,53999815,34926592,110.1,776727994.35
214,53947556,34926592,91.9,777480410.79
215,54207740,34926592,91.4,773748693.45
216,54145129,34926592,109.8,774643421.76
217,54133407,34926592,91.6,774811162.36
218,54309684,34926592,109.5,772296299.86
219,54025000,34926592,91.7,776365904.67
220,54104259,34926592,109.7,775228582.28
221,54127000,34926592,91.2,774902876.57
222,54199518,34926592,109.7,773866070.17
223,54157370,34926592,91.5,774468331.83
224,54013259,34926592,110.1,776534665.31
225,54111722,34926592,91.6,775121664.03
226,54050667,34926592,110.0,775997232.37
227,54195944,34926592,91.4,773917103.46
228,54121296,34926592,91.6,774984545.82
229,54127055,34926592,91.6,774902089.17
230,53986279,34926592,110.2,776922743.65
231,53947094,34926592,91.8,777487069.09
232,54043056,34926592,110.1,776106517.74
233,53951742,34926592,91.9,777420087.75
234,54157389,34926592,109.8,774468060.12
235,54113648,34926592,91.6,775094076.08
236,54277555,34926592,109.6,772753452.14
237,54130907,34926592,91.5,774846946.50
238,53984297,34926592,110.2,776951267.88
239,54065518,34926592,91.7,775784077.39
240,53990852,34926592,91.8,776856938.65
241,54107796,34930688,128.2,775177905.97
242,53951556,34930688,91.8,777422767.94
243,54077185,34930688,91.7,775616704.16
244,54094574,34930688,109.9,775367377.88
245,54132703,34930688,91.6,774821238.84
246,54111462,34930688,109.9,775125388.41
247,54131463,34930688,91.5,774838987.82
248,54045926,34930688,110.0,776065304.16
249,53985390,34930688,91.8,776935537.56
250,53992334,34930688,110.1,776835615.22
251,54027241,34930688,91.7,776333701.73
252,54040870,34930688,109.9,776137911.92
253,54244925,34930688,91.0,773218287.24
254,54304943,34930688,91.3,772363723.87
255,54231333,34930688,109.7,773412078.95
256,54250388,34930688,91.3,773140424.36
257,55883195,34930688,106.5,750550644.07
258,54263943,34930688,91.3,772947295.78
259,54224648,34930688,109.7,773507427.84
260,54273333,34930688,91.3,772813565.73
261,54077315,34930688,109.9,775614839.61
262,54221147,34930688,91.4,773557372.37
263,54060667,34930688,110.0,775853690.45
264,54336073,34930688,91.2,771921224.41
265,54152018,34930688,109.8,774544874.76
266,54129685,34930688,91.6,774864438.99
267,54132852,34930688,109.9,774819106.15
268,54122611,34930688,91.6,774965716.27
269,54061149,34930688,110.0,775846773.07
270,54065130,34934784,91.7,775789644.82
271,54375147,34934784,109.3,771366521.55
272,54114482,34934784,91.6,775082130.51
273,54422777,34934784,91.1,770691433.11
274,54151278,34934784,109.8,774555459.25
275,54101167,34934784,91.6,775272888.29
276,54079037,34934784,110.0,775590142.26
277,59834640,34934784,99.5,700984713.87
278,54090334,34934784,91.6,775428156.91
279,54087296,34934784,110.0,775471711.51
280,54277239,34934784,91.3,772757951.08
281,54090648,34934784,109.9,775423655.49
282,54864033,34934784,90.3,764492978.49
283,54589442,34938880,108.9,768338463.69
284,57752112,34938880,85.8,726262062.94
285,54422609,34938880,109.3,770693812.20
286,54036648,34938880,91.7,776198553.25
287,53978742,34938880,110.2,777031224.63
288,53984241,34938880,91.8,776952073.85
289,54073315,34938880,91.6,775672214.66
290,54181703,34938880,109.8,774120518.14
291,54933163,34938880,90.2,763530911.19
292,54034352,34938880,110.0,776231535.08
293,54497072,34938880,90.8,769640761.62
294,54055759,34938880,109.7,775924134.19
295,54230055,34938880,91.4,773430305.39
296,54103741,34938880,109.9,775236004.48
297,54064945,34938880,91.7,775792299.43
298,54155703,34938880,91.5,774492171.21
299,54314647,34938880,109.5,772225731.30
300,54240277,34938880,91.4,773284546.46
301,53959112,34938880,110.2,777313903.91
302,54131481,34938880,91.5,774838730.17
303,53990834,34938880,110.1,776857197.65
304,54030371,34938880,91.7,776288728.43
305,54032593,34938880,110.1,776256804.85
306,54031056,34938880,91.7,776278886.72
307,54054278,34938880,109.9,775945393.26
308,54118240,34938880,91.6,775028308.39
309,54382943,34938880,109.4,771255943.25
310,53977612,34938880,91.7,777047491.47
311,54004148,34938880,91.8,776665673.90
312,54202370,34938880,109.7,773825351.18
313,54011334,34938880,91.7,776562341.53
314,54183759,34938880,109.8,774091144.17
315,54099648,34938880,91.6,775294656.26
316,54147166,34938880,109.8,774614279.91
317,54102463,34938880,91.6,775254316.98
318,54227055,34938880,109.7,773473093.83
319,54107408,34938880,91.6,775183464.71
320,54081296,34938880,110.0,775557745.51
321,53988001,34938880,91.8,776897962.94
322,54128592,34938880,91.5,774880085.56
323,54043223,34938880,110.0,776104119.47
324,54067185,34938880,91.7,775760158.40
325,54054111,34942976,110.0,775947790.54
326,54080112,34942976,91.7,775574725.14
327,54174685,34942976,109.7,774220800.73
328,54344887,34942976,91.2,771796029.31
329,54294907,34942976,91.2,772506489.42
330,54251129,34942976,109.6,773129864.27
331,53987185,34942976,91.8,776909705.52
332,54169351,34942976,109.8,774297037.45
333,53988167,34942976,91.7,776895574.17
334,53977297,34947072,110.2,777052026.15
335,54324332,34947072,91.2,772088058.07
336,54178740,34947072,91.4,774162854.29
337,54261684,34947072,109.6,772979474.80
338,54026982,34947072,91.7,776337423.40
339,54094000,34947072,109.8,775375605.43
340,54046056,34947072,91.7,776063437.45
341,54084592,34947072,110.0,775510481.80
342,54003371,34947072,91.8,776676848.56
343,54030426,34947072,110.1,776287938.21
344,54259333,34947072,91.3,773012967.19
345,54086481,34947072,109.9,775483396.67
346,54376832,34947072,91.1,771342618.86
347,54070463,34947072,110.0,775713128.26
348,54042112,34947072,91.7,776120074.66
349,54149611,34947072,91.6,774579304.00
350,54172036,34947072,109.8,774258659.95
351,53995852,34947072,91.8,776785001.93
352,54048648,34947072,110.0,776026219.93
353,54097796,34947072,91.5,775321197.93
354,53983241,34947072,110.2,776966466.31
355,54207647,34947072,91.4,773750020.91
356,54022556,34947072,110.0,776401027.75
357,54018000,34947072,91.7,776466511.16
358,54088667,34947072,110.0,775452055.42
359,54007797,34947072,91.8,776613199.02
360,54033722,34947072,91.7,776240585.46
361,54089111,34947072,109.9,775445689.98
362,54038352,34947072,91.7,776174077.26
363,54043537,34947072,110.1,776099610.21
364,54189129,34947072,91.4,774014433.78
365,54173444,34947072,109.8,774238536.51
366,54031315,34947072,91.7,776275165.61
367,54138611,34947072,109.8,774736684.69
368,54268147,34951168,91.3,772887417.73
