Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
132,39354071,29425664,100.4,1065787984.17
133,39498403,29425664,100.0,1061893464.40
134,39279941,29425664,100.6,1067799363.55
135,39347423,29425664,100.3,1065968055.90
136,39249072,29425664,100.6,1068639177.00
137,39332089,29425664,100.4,1066383633.98
138,39248053,29425664,100.7,1068666922.15
139,39282034,29425664,100.6,1067742469.75
140,39314590,29425664,100.5,1066858283.40
141,39245497,29425664,100.7,1068736522.82
142,39284515,29425664,100.6,1067675036.84
143,39245109,29425664,100.7,1068747088.97
144,39261886,29425664,100.6,1068290402.55
145,39296052,29425664,100.6,1067361576.17
146,39371181,29425664,100.4,1065324812.08
147,39389718,29429760,100.3,1064823464.84
148,39265811,29429760,100.6,1068183616.53
149,39244164,29429760,100.7,1068772824.41
150,39249108,29429760,100.7,1068638196.82
151,39261146,29429760,100.6,1068310537.85
152,39391552,29429760,75.2,1064773888.57
153,39288997,29429760,100.6,1067553238.89
154,39232312,29429760,100.6,1069095698.46
155,39238460,29433856,100.5,1068928189.33
156,39299163,29433856,100.6,1067277081.70
157,39295330,29433856,100.6,1067381187.54
158,39489959,29433856,100.1,1062120525.37
159,39263423,29433856,100.7,1068248583.42
160,39268516,29433856,100.6,1068110035.02
161,39373348,29433856,100.4,1065266179.55
162,39318126,29433856,100.5,1066762337.55
163,39247349,29433856,100.7,1068686091.38
164,39271589,29433856,100.6,1068026455.46
165,39256664,29433856,75.5,1068432508.68
166,39306330,29433856,100.5,1067082477.56
167,39265219,29433856,100.6,1068199721.49
168,39249720,29433856,100.7,1068621534.12
169,39245627,29433856,100.7,1068732982.66
170,39245034,29433856,100.6,1068749131.42
171,39229293,29433856,100.7,1069177973.71
172,39372589,29433856,100.3,1065286715.08
173,39277682,29433856,125.6,1067860776.51
174,39235886,29433856,100.7,1068998314.45
175,39232108,29433856,100.7,1069101257.57
176,39270274,29433856,100.6,1068062219.28
177,39251811,29433856,100.7,1068564607.12
178,39376682,29433856,100.4,1065175984.10
179,39304071,29433856,100.5,1067143808.08
180,39248775,29433856,100.7,1068647263.51
181,39290775,29433856,100.6,1067504929.59
182,39276571,29433856,100.6,1067890982.64
183,39308830,29433856,100.5,1067014612.24
184,39253923,29433856,100.7,1068507114.56
185,39405793,29433856,100.3,1064389086.14
186,39282386,29433856,100.6,1067732901.97
187,39352053,29433856,100.4,1065842638.50
188,39333608,29433856,100.4,1066342451.98
189,39259460,29433856,100.7,1068356416.52
190,39243812,29433856,75.5,1068782410.84
191,39296589,29433856,100.4,1067346990.35
192,39268905,29433856,100.6,1068099454.26
193,39243793,29433856,100.7,1068782928.30
194,39258145,29433856,100.6,1068392202.43
195,39294905,29433856,100.5,1067392731.96
196,39237738,29433856,100.7,1068947858.31
197,39272793,29433856,100.6,1067993712.59
198,39413219,29437952,100.2,1064188540.40
199,39276515,29437952,100.6,1067892505.23
200,39303386,29437952,100.5,1067162406.82
201,39258627,29437952,100.6,1068379085.19
202,39268238,29437952,100.6,1068117596.72
203,39388755,29437952,100.3,1064849498.29
204,39336330,29437952,100.5,1066268663.09
205,39243646,29437952,100.7,1068786931.77
206,39404477,29437952,100.3,1064424633.78
207,39270534,29437952,100.4,1068055147.91
208,39430200,29437952,100.1,1063730237.23
209,39314811,29437952,100.5,1066852286.28
210,39259794,29437952,100.5,1068347327.55
211,39280312,29442048,100.6,1067789278.25
212,39394440,29442048,100.2,1064695830.17
213,39234256,29442048,100.7,1069042726.34
214,39337738,29442048,100.4,1066230498.56
215,39272886,29442048,100.6,1067991183.54
216,39251571,29442048,100.7,1068571140.76
217,39315960,29442048,100.5,1066821107.76
218,39247052,29442048,100.7,1068694178.61
219,39242053,29442048,100.7,1068830318.33
220,39290589,29442048,100.6,1067509983.12
221,39243108,29442048,100.7,1068801584.22
222,39254700,29442048,100.7,1068485964.74
223,39276683,29442048,100.6,1067887937.48
224,39386496,29442048,100.3,1064910572.40
225,39261571,29442048,100.6,1068298973.57
226,39243219,29442048,100.7,1068798561.10
227,39234516,29442048,100.6,1069035641.98
228,39375515,29442048,100.2,1065207553.48
229,39271608,29442048,100.6,1068025938.74
