Trial,Latency_ns,RAM_Bytes,Throughput_bps
174,496199,13717504,1056608336.57
175,496014,13717504,1057002423.32
176,505884,13717504,1036379881.55
177,497217,13717504,1054445041.10
178,495699,13717504,1057674112.72
179,495976,13717504,1057083407.26
180,496347,13721600,1056293278.69
181,496551,13725696,1055859317.57
182,496236,13725696,1056529554.49
183,507347,13725696,1033391347.54
184,496458,13725696,1056057108.56
185,496107,13725696,1056804278.11
186,495939,13725696,1057162271.97
187,496070,13725696,1056883101.18
188,496070,13725696,1056883101.18
189,495773,13725696,1057516242.31
190,505995,13725696,1036152531.15
191,496088,13725696,1056844753.35
192,495995,13725696,1057042913.74
193,495903,13725696,1057239016.50
194,495866,13725696,1057317904.43
195,495921,13725696,1057200642.84
196,495736,13725696,1057595171.62
197,495551,13725696,1057989994.98
198,504236,13725696,1039767093.19
199,496402,13725696,1056176244.25
200,496014,13725696,1057002423.32
201,495606,13725696,1057872584.27
202,495810,13725696,1057437324.78
203,495958,13725696,1057121772.41
204,496069,13725696,1056885231.69
205,506643,13725696,1034827284.70
206,496255,13725696,1056489103.38
207,495644,13725696,1057791479.37
208,495810,13725696,1057437324.78
209,495550,13725696,1057992129.96
210,495421,13725696,1058267614.82
211,495588,13725696,1057911006.72
212,495643,13725696,1057793613.55
213,495810,13725696,1057437324.78
214,495681,13725696,1057712520.75
215,495495,13725696,1058109567.20
216,495569,13725696,1057951566.78
217,495699,13725696,1057674112.72
218,495513,13725696,1058071130.32
219,495587,13725696,1057913141.39
220,503051,13725696,1042216395.55
221,496088,13725696,1056844753.35
222,495662,13725696,1057753065.60
223,495755,13725696,1057554638.88
224,495754,13725696,1057556772.11
225,495514,13725696,1058068995.02
226,495550,13725696,1057992129.96
227,505180,13725696,1037824141.89
228,496125,13725696,1056765936.00
229,495847,13725696,1057358419.03
230,495532,13725696,1058030561.09
231,495847,13725696,1057358419.03
232,495477,13725696,1058148006.87
233,495847,13725696,1057358419.03
234,495606,13725696,1057872584.27
235,503681,13725696,1040912799.97
